University,Url
 Univ Of Houston-Downtown Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006922&trns_subj_code=&trns_subj_crse=
 Univ Of Houston-Victoria Victoria,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006917&trns_subj_code=&trns_subj_crse=
 Univ Of Mary Hardin-Baylor Belton,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006396&trns_subj_code=&trns_subj_crse=
 Univ Of N Texas Health Sci Ctr Fort Worth,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX026&trns_subj_code=&trns_subj_crse=
 Univ Of Texas At Arlington Arlington,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006013&trns_subj_code=&trns_subj_crse=
 Univ Of Texas At Austin Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006882&trns_subj_code=&trns_subj_crse=
 Univ Of Texas At Brownsville Brownsville,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006825&trns_subj_code=&trns_subj_crse=
 Univ Of Texas At Dallas Richardson,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006897&trns_subj_code=&trns_subj_crse=
 Univ Of Texas At El Paso El Paso,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006829&trns_subj_code=&trns_subj_crse=
 Univ Of Texas At San Antonio San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006919&trns_subj_code=&trns_subj_crse=
 Univ Of Texas Grad Schl-Biomed Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX027&trns_subj_code=&trns_subj_crse=
 Univ Of Texas Nursing School Austin,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX028&trns_subj_code=&trns_subj_crse=
 Univ Of Texas Sch Of Publ Hlth Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX029&trns_subj_code=&trns_subj_crse=
 Univ Of Texas-Medical Branch Galveston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006887&trns_subj_code=&trns_subj_crse=
 Univ Of Texas-Rio Grande Valle Edinburg,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006570&trns_subj_code=&trns_subj_crse=
 Univ Of The Incarnate Word San Antonio,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=006303&trns_subj_code=&trns_subj_crse=
 Univ of North Texas at Dallas Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX037&trns_subj_code=&trns_subj_crse=
 Univ of Tex MD Anderson Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX035&trns_subj_code=&trns_subj_crse=
 Univ of Texas Southwest Med Ct Dallas,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=000273&trns_subj_code=&trns_subj_crse=
 Univ of Texas at Tyler Tyler,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=000389&trns_subj_code=&trns_subj_crse=
 Univ of Texas-Permian Basin Odessa,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=000448&trns_subj_code=&trns_subj_crse=
 Universal Technical Institute Houston,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=002503&trns_subj_code=&trns_subj_crse=
 University Of Central Texas Killeen,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX024&trns_subj_code=&trns_subj_crse=
 University Of Corpus Christi Corpus Christi,https://sis.ou.edu/ted/home/byOther?stat_code=TX&sbgi_code=UTX025&trns_subj_code=&trns_subj_crse=
